  ,,,,,,
  SlNo,Symbol,Date,Traded Volume,High Price,Low Price,Market Price
1,BFAL,30/04/2024,2660,138.21,138.21,120.18
2,BFAL,12/7/2024,1,158.94,158.94,138.21
3,BFAL,30/08/2024,600,158.94,158.94,138.21
4,BFAL,17/09/2024,615,158.94,158.94,138.21
5,BFAL,27/09/2024,6,182.78,182.78,158.94
6,BFAL,30/09/2024,45,182.78,182.78,158.94
7,BFAL,8/10/2024,30,182.78,182.78,158.94
8,BFAL,14/10/2024,6,182.78,182.78,158.94
